english,hindi
It's raining cats and dogs,मूसलाधार बारिश हो रही है
Break a leg,शुभकामनाएं
Piece of cake,बहुत आसान काम
Hit the nail on the head,सही बात कहना
Cost an arm and a leg,बहुत महंगा होना
The ball is in your court,अब आपकी बारी है
Blessing in disguise,छुपा हुआ आशीर्वाद
Get the hang of it,समझ जाना
Spill the beans,राज़ खोल देना
Under the weather,थोड़ा बीमार महसूस करना
Once in a blue moon,कभी-कभार
Time flies,समय तेज़ी से बीतता है
Jump on the bandwagon,लोकप्रिय चीज़ में शामिल होना
Bite off more than you can chew,क्षमता से अधिक जिम्मेदारी लेना
Beat around the bush,बात को घुमा-फिरा कर कहना
Get your act together,अपना व्यवहार सुधारना
Let the cat out of the bag,राज़ खोल देना
Pull someone's leg,किसी के साथ मजाक करना
Steal someone's thunder,किसी की सफलता का श्रेय छीनना
When pigs fly,कभी नहीं
Add fuel to the fire,आग में घी डालना
All ears,पूरा ध्यान से सुनना
A hot potato,विवादास्पद मुद्दा
A penny for your thoughts,क्या सोच रहे हो?
Back to square one,फिर से शुरुआत करना
Barking up the wrong tree,गलत दिशा में प्रयास करना
Best of both worlds,दोनों दुनिया का मज़ा
Between a rock and a hard place,दोनों तरफ से मुश्किल में होना
By the skin of your teeth,बाल-बाल बचना
Call it a day,काम समाप्त करना
Cut corners,आसान रास्ता अपनाना
Cut to the chase,मुद्दे की बात करना
Devil's advocate,विरोधी पक्ष रखना
Don't count your chickens before they hatch,धान बोए बिना भात पकाना
Don't put all your eggs in one basket,सारा दांव एक जगह न लगाना
Elephant in the room,अनदेखा किया गया बड़ा मुद्दा
Every cloud has a silver lining,हर अंधेरे के बाद उजाला होता है
Get out of hand,नियंत्रण से बाहर होना
Give the benefit of the doubt,शक का फायदा देना
Go back to the drawing board,नए सिरे से शुरू करना
Hit the books,पढ़ाई में लग जाना
Hit the road,निकल पड़ना
Kill two birds with one stone,एक तीर से दो निशाने
Lose your touch,अपनी कुशलता खोना
Make a long story short,संक्षेप में बताना
Miss the boat,मौका गंवा देना
No pain, no gain,बिना मेहनत के कुछ नहीं मिलता
Off the top of my head,तुरंत सोचकर
On cloud nine,सातवें आसमान पर होना
On the ball,तेज़ और सतर्क होना
Out of the blue,अचानक
Practice makes perfect,अभ्यास से ही पूर्णता आती है
Read between the lines,अनकही बातें समझना
Rome wasn't built in a day,रोम एक दिन में नहीं बना था
See eye to eye,एकमत होना
Sit on the fence,निर्णय न ले पाना
Speak of the devil,जिसका ज़िक्र हो रहा था वो आ गया
Take with a grain of salt,संदेह के साथ लेना
The best of both worlds,दोनों दुनिया का फायदा
The last straw,सब्र का बांध टूटना
Throw in the towel,हार मान लेना
To make matters worse,सोने पे सुहागा
Turn a blind eye,अनदेखा करना
Whole nine yards,पूरी तरह से
Wild goose chase,व्यर्थ की दौड़
You can't have your cake and eat it too,एक साथ दो फायदे नहीं हो सकते
Your guess is as good as mine,मुझे भी नहीं पता
Actions speak louder than words,कथनी से करनी बड़ी है
Burn the midnight oil,देर रात तक काम करना
Can't judge a book by its cover,रूप से गुण नहीं पहचाने जाते
Cry over spilled milk,बीती बात पर पछताना
Face the music,परिणाम भुगतना
Finding a needle in a haystack,असंभव कार्य
Get a taste of your own medicine,अपनी करनी का फल भुगतना
Get something off your chest,मन की बात कह देना
Go the extra mile,अतिरिक्त प्रयास करना
Have a change of heart,विचार बदलना
Hear it on the grapevine,अफवाह सुनना
Hit the sack,सोने जाना
Hold your horses,धैर्य रखना
Keep your chin up,हिम्मत न हारना
Leave no stone unturned,कोई कसर न छोड़ना
Let sleeping dogs lie,सोते हुए शेर को न जगाना
Make a mountain out of a molehill,राई का पहाड़ बनाना
On the fence,अनिर्णय की स्थिति में
Out of the frying pan into the fire,एक मुसीबत से निकले दूसरी में फंसे
Paint the town red,खूब मौज-मस्ती करना
Pass the buck,जिम्मेदारी दूसरों पर डालना
Rain on someone's parade,किसी की खुशी में खलल डालना
Sell like hot cakes,तेज़ी से बिकना
Skating on thin ice,जोखिम भरी स्थिति में होना
Something smells fishy,कुछ गड़बड़ लगना
Stand your ground,अपने स्टैंड पर डटे रहना
Start from scratch,शून्य से शुरुआत करना
Step into someone's shoes,किसी की जगह अपने आप को रखकर देखना
Take a rain check,किसी प्रस्ताव को अभी टालना
Take the bull by the horns,मुश्किल से सीधे मुकाबला करना
The early bird catches the worm,जल्दी उठने वाले को फायदा मिलता है
Throw caution to the wind,सावधानी को दरकिनार करना
Tip of the iceberg,समस्या का छोटा भाग
To add insult to injury,दुख के ऊपर दुख देना
To be in the same boat,एक ही स्थिति में होना
To break the ice,औपचारिकता को तोड़ना
To cry wolf,झूठी चिंता जताना
To get cold feet,डर के मारे पीछे हटना
Easier said than done,कहने में आसान, करने में मुश्किल
Get off on the wrong foot,गलत शुरुआत करना
Go cold turkey,कोई आदत अचानक छोड़ देना
Have a lot on one's plate,बहुत व्यस्त होना
Hold your tongue,मुंह बंद रखना
In hot water,मुसीबत में होना
In the nick of time,सही समय पर
Keep your eyes peeled,सतर्क रहना
Keep your fingers crossed,सफलता की उम्मीद करना
Look before you leap,सोच-समझकर कदम उठाना
Make hay while the sun shines,मौके का फायदा उठाना
Over the moon,बहुत खुश
Saved by the bell,बाल-बाल बचना
Sick as a dog,बहुत बीमार
Twist someone's arm,किसी को मजबूर करना
Tie the knot,शादी करना
अंगूठा दिखाना,to refuse
अंधे के हाथ बटेर लगना,unexpected success
अंधों में काना राजा,one-eyed man is king among the blind
अक्ल के दुश्मन,very foolish
अक्ल पर पत्थर पड़ना,to lose one's mind
अपना उल्लू सीधा करना,to pursue one's self-interest
आंख का तारा,very dear person
आंख दिखाना,to threaten
आंखों में धूल झोंकना,to deceive
आग बबूला होना,to get very angry
आग लगाकर तमाशा देखना,to cause trouble and enjoy the chaos
आटे-दाल का भाव मालूम होना,to face reality
आसमान सिर पर उठाना,to make a lot of noise
आस्तीन का सांप,traitor friend
इधर की उधर करना,to change completely
ईद का चांद होना,rarely seen
एक अनार सौ बीमार,too many people wanting the same thing
एक तीर से दो शिकार,two things at once
एक म्यान में दो तलवारें नहीं रह सकतीं,two leaders can't coexist
कमर कसना,to prepare oneself
कान भरना,to instigate
घी के दीये जलाना,to celebrate
चार चांद लगाना,to add glory
चुल्लू भर पानी में डूब मरना,to feel extremely ashamed
छाती पर सांप लोटना,to feel extremely jealous
जान हथेली पर रखना,to risk one's life
जीभ पर लगाम लगाना,to control one's speech
टांग अड़ाना,to interfere unnecessarily
ठेंगा दिखाना,to refuse bluntly
दांतों तले उंगली दबाना,to be amazed
दाल में कुछ काला होना,something fishy going on
दीवार के कान होना,walls have ears
नाक कटना,to lose respect
नाक में दम करना,to harass
नौ दो ग्यारह होना,to run away
पानी-पानी होना,to be embarrassed
पूत के पांव पालने में दिखना,childhood shows the man
फूला न समाना,extremely happy
बगलें झांकना,to avoid work
बिल्ली के गले में घंटी बांधना,to do a dangerous task
मुंह में पानी आना,to crave something
हाथ कंगन को आरसी क्या,no need for proof for obvious things
हाथी के दांत खाने के और, दिखाने के और,hypocritical behavior
हवा से बातें करना,to be very fast
दो और दो चार होना,something is very obvious
दूध का जला छाछ भी फूंक-फूंक कर पीता है,once bitten, twice shy
कान का कच्चा,believing rumors easily
पेट में चूहे दौड़ना,to be very hungry
सिर पर सवार रहना,to annoy constantly
नाक रगड़ना,to apologize humbly
अधजल गगरी छलकत जाए,half-knowledge is dangerous
ऊंट के मुंह में जीरा,too little for too much need
काला अक्षर भैंस बराबर,completely illiterate
खिसियानी बिल्ली खंभा नोचे,embarrassed person finding excuses
गागर में सागर भरना,saying much in few words
घर का भेदी लंका ढाए,insider threat
चोर की दाढ़ी में तिनका,guilty conscience needs no accuser
जहां चाह वहां राह,where there's a will, there's a way
धोबी का कुत्ता न घर का न घाट का,belonging nowhere
नाच न जाने आंगन टेढ़ा,blaming others for one's failure
सौ सुनार की, एक लोहार की,one action is better than hundred words
A bird in the hand is worth two in the bush,एक हाथ में चिड़िया, दो झाड़ी में से बेहतर है
A chip on your shoulder,अकारण क्रोधित होना
A deer caught in the headlights,भय से स्तब्ध होना
A diamond in the rough,अनमोल छिपी हुई प्रतिभा
A drop in the bucket,बहुत कम मात्रा
A leopard can't change its spots,स्वभाव नहीं बदलता
A picture is worth a thousand words,एक चित्र हजार शब्दों के बराबर है
